[PROP/wald] K=1  FRcrit_avg=0.01876108  conf=0.99  steps=1  n=1481
half_norm=0.00908206  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2703360
EP_control=wald  E_wald_final=0.00908206
Wald_CI(99%):   [0.00967901, 0.02784314]   half=0.00908206   se=0.00352565   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10127483 (n=1481)
injections_used=1481  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07004082967589467, 0.1479838369345037, 0.08830868079000675, 0.10437151839972991, 0.08038276502363267, 0.0861300430452397, 0.12717336259284268, 0.09435664247130317, 0.0861511436529372, 0.11510117741390952] Δmax = 0.004 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0186 per_class = [0.012233387615680979, 0.008102633355840648, 0.017085987728620498, 0.013479380798759598, 0.013470627954085077, 0.012123258240746424, 0.013443005340371985, 0.046049966239027684, 0.012153950033760972, 0.037992347512941706] agree = 0.981 flip_asym = 0.729

[E_seq] n, E_wald
664,0.01493187
1481,0.00908206

[E_final] E_wald=0.00908206

Top-100 worst injections (proposed iter EP)
 33) Inj    331 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [34, 195, 0, 0] bit 26
 34) Inj    237 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [39, 389, 0, 0] bit 31
 35) Inj    218 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [33, 249, 0, 0] bit 13
 36) Inj    147 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [150, 273, 0, 0] bit 31
 37) Inj    329 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [72, 130, 0, 0] bit 19
 38) Inj    398 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [71, 499, 0, 0] bit 12
 39) Inj    392 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [95, 278, 0, 0] bit 2
 40) Inj    459 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [130, 186, 0, 0] bit 28
 41) Inj    320 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [113, 454, 0, 0] bit 1
 42) Inj    464 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [94, 44, 0, 0] bit 30
 43) Inj    477 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [3, 419, 0, 0] bit 14
 44) Inj    525 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [71, 141, 0, 0] bit 7
 45) Inj    345 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [144, 442, 0, 0] bit 3
 46) Inj   1317 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [138, 128, 0, 0] bit 15
 47) Inj    370 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [83, 357, 0, 0] bit 26
 48) Inj    557 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [48, 211, 0, 0] bit 18
 49) Inj    566 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [83, 460, 0, 0] bit 22
 50) Inj    293 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [98, 251, 0, 0] bit 24
 51) Inj    389 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [49, 85, 0, 0] bit 17
 52) Inj    382 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [155, 308, 0, 0] bit 10
 53) Inj    692 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [2, 150, 0, 0] bit 16
 54) Inj    755 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [42, 152, 0, 0] bit 0
 55) Inj    751 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [152, 328, 0, 0] bit 15
 56) Inj    811 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [8, 30, 0, 0] bit 15
 57) Inj    756 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [41, 449, 0, 0] bit 31
 58) Inj    516 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [75, 89, 0, 0] bit 7
 59) Inj   1021 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [9, 441, 0, 0] bit 3
 60) Inj    419 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [29, 273, 0, 0] bit 25
 61) Inj    864 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [128, 127, 0, 0] bit 23
 62) Inj   1168 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [158, 345, 0, 0] bit 17
 63) Inj    512 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [82, 309, 0, 0] bit 25
 64) Inj    489 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [142, 242, 0, 0] bit 19
 65) Inj    877 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.0.conv [52, 348, 0, 0] bit 16
