[PROP/wald] K=1  FRcrit_avg=0.02075493  conf=0.99  n=16590
half_norm=0.00285121  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=589824
EP_control=wald  E_wald_final=0.00285121
Wald_CI(99%):   [0.01790372, 0.02360613]   half=0.00285121   se=0.00110684   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11016776 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06852019288728149, 0.14660634229957806, 0.09903391538577457, 0.10417443678420735, 0.08014264052139844, 0.0849113735684147, 0.12689284772453285, 0.09290870818264015, 0.08459162145871006, 0.11221792118746232] Δmax = 0.009 KL = 0.001 TV = 0.015 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0205 per_class = [0.015689820231890226, 0.011249042894612515, 0.008635374898445895, 0.015734601388609826, 0.01560277275467149, 0.015381664748753356, 0.01566843845324858, 0.048634116937914404, 0.0156830511260891, 0.042616033755274264] agree = 0.979 flip_asym = 0.919

[E_seq] n, E_wald
16590,0.00285121

[E_final] E_wald=0.00285121

Top-100 worst injections
 33) Inj   5792 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [10, 60, 0, 0] bit 30
 34) Inj   2436 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [74, 52, 0, 0] bit 30
 35) Inj   3323 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [3, 187, 0, 0] bit 30
 36) Inj   3538 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [84, 143, 0, 0] bit 30
 37) Inj   2562 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [90, 126, 0, 0] bit 30
 38) Inj   3866 | FRcrit=0.910156 | maj=2@0.94 Δmax=0.848 KL=2.114 | inception3a.branch2.0.conv [65, 91, 0, 0] bit 30
 39) Inj   4788 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [51, 145, 0, 0] bit 30
 40) Inj   5159 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [76, 122, 0, 0] bit 30
 41) Inj   3077 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [11, 44, 0, 0] bit 30
 42) Inj   3933 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [28, 37, 0, 0] bit 30
 43) Inj   3076 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.898 KL=2.340 | inception3a.branch2.0.conv [52, 185, 0, 0] bit 30
 44) Inj   6096 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [30, 144, 0, 0] bit 30
 45) Inj   6218 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [19, 16, 0, 0] bit 30
 46) Inj   6498 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [20, 61, 0, 0] bit 30
 47) Inj  12741 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [23, 170, 0, 0] bit 30
 48) Inj   3337 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [4, 65, 0, 0] bit 30
 49) Inj   6232 | FRcrit=0.910156 | maj=2@0.95 Δmax=0.863 KL=2.179 | inception3a.branch2.0.conv [87, 154, 0, 0] bit 30
 50) Inj   3330 | FRcrit=0.910156 | maj=5@0.55 Δmax=0.469 KL=1.725 | inception3a.branch2.0.conv [69, 77, 0, 0] bit 30
 51) Inj  11664 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [89, 81, 0, 0] bit 30
 52) Inj   7971 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [3, 17, 0, 0] bit 30
 53) Inj   7944 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [37, 2, 0, 0] bit 30
 54) Inj   4339 | FRcrit=0.910156 | maj=2@0.96 Δmax=0.875 KL=2.241 | inception3a.branch2.0.conv [53, 78, 0, 0] bit 30
 55) Inj   8653 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [74, 144, 0, 0] bit 30
 56) Inj   6960 | FRcrit=0.910156 | maj=2@0.98 Δmax=0.891 KL=2.314 | inception3a.branch2.0.conv [82, 183, 0, 0] bit 30
 57) Inj  11008 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [9, 138, 0, 0] bit 30
 58) Inj   8392 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [74, 42, 0, 0] bit 30
 59) Inj   7440 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [30, 133, 0, 0] bit 30
 60) Inj   9535 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [32, 158, 0, 0] bit 30
 61) Inj  10176 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [33, 53, 0, 0] bit 30
 62) Inj   9602 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [77, 103, 0, 0] bit 30
 63) Inj   3121 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [37, 96, 0, 0] bit 30
 64) Inj   4910 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [90, 150, 0, 0] bit 30
 65) Inj   6632 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [57, 3, 0, 0] bit 30
 66) Inj   4580 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [32, 181, 0, 0] bit 30
 67) Inj   5010 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [55, 173, 0, 0] bit 30
 68) Inj   7094 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [10, 110, 0, 0] bit 30
 69) Inj   7330 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [74, 92, 0, 0] bit 30
