[PROP/wald] K=1  FRcrit_avg=0.01959388  conf=0.99  n=16590
half_norm=0.00277195  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=5750784
EP_control=wald  E_wald_final=0.00277195
Wald_CI(99%):   [0.01682193, 0.02236584]   half=0.00277195   se=0.00107607   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10448963 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06867182790837854, 0.1489993030440024, 0.0928335970464135, 0.10444921639541893, 0.08028909546413503, 0.08588593467450271, 0.12788930643459914, 0.09314181170886075, 0.08486145644966847, 0.11297845087402049] Δmax = 0.005 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0195 per_class = [0.01447718327837464, 0.007928905397259827, 0.01384804885080064, 0.014598263121469873, 0.014436407474382159, 0.013430872924543811, 0.013686594699252926, 0.04747438215792646, 0.0143870897035454, 0.0408217801888688] agree = 0.980 flip_asym = 0.766

[E_seq] n, E_wald
16590,0.00277195

[E_final] E_wald=0.00277195

Top-100 worst injections
 33) Inj   3254 | FRcrit=0.910156 | maj=2@0.86 Δmax=0.766 KL=1.928 | inception4a.branch2.1.conv [64, 48, 2, 2] bit 30
 34) Inj   2129 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [53, 71, 1, 0] bit 30
 35) Inj  10428 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [136, 43, 2, 2] bit 30
 36) Inj   4226 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [93, 92, 0, 2] bit 30
 37) Inj   3049 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [89, 11, 2, 1] bit 30
 38) Inj   5129 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [173, 90, 2, 1] bit 30
 39) Inj   4070 | FRcrit=0.910156 | maj=2@0.91 Δmax=0.820 KL=2.065 | inception4a.branch2.1.conv [199, 7, 0, 1] bit 30
 40) Inj  10315 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [91, 29, 0, 1] bit 30
 41) Inj  10568 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [56, 42, 1, 2] bit 30
 42) Inj   3802 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [91, 54, 2, 0] bit 30
 43) Inj  15268 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [163, 14, 1, 1] bit 30
 44) Inj   7623 | FRcrit=0.910156 | maj=2@0.90 Δmax=0.812 KL=2.043 | inception4a.branch2.1.conv [77, 63, 2, 1] bit 30
 45) Inj   1235 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [136, 21, 0, 0] bit 30
 46) Inj   1272 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [170, 32, 0, 1] bit 30
 47) Inj   9671 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch2.1.conv [170, 57, 2, 2] bit 30
 48) Inj   1206 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception4a.branch2.1.conv [203, 73, 0, 2] bit 30
