[PROP/wald] K=1  FRcrit_avg=0.02174338  conf=0.99  n=16590
half_norm=0.00291684  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00291684
Wald_CI(99%):   [0.01882654, 0.02466022]   half=0.00291684   se=0.00113231   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11147672 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06846627298071127, 0.15127853752260398, 0.08972978827606992, 0.1050708257986739, 0.08017725286317058, 0.0866784866636528, 0.12742639579566004, 0.09307635435503316, 0.08472441983122363, 0.11337166591320072] Δmax = 0.007 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0218 per_class = [0.01717547778605113, 0.007668246908753238, 0.019275624393951307, 0.01643560377737593, 0.016892706449668476, 0.014954244068168119, 0.016463002538951905, 0.04985895117540687, 0.016883116883116882, 0.04251557162949568] agree = 0.978 flip_asym = 0.742

[E_seq] n, E_wald
16590,0.00291684

[E_final] E_wald=0.00291684

Top-100 worst injections
 33) Inj   2883 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [34, 297, 0, 0] bit 30
 34) Inj   8914 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [12, 443, 0, 0] bit 30
 35) Inj   5513 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception4b.branch4.1.conv [27, 457, 0, 0] bit 30
 36) Inj   2200 | FRcrit=0.910156 | maj=5@0.88 Δmax=0.797 KL=1.967 | inception4b.branch4.1.conv [56, 273, 0, 0] bit 30
 37) Inj   4175 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [25, 429, 0, 0] bit 30
 38) Inj   5595 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [34, 442, 0, 0] bit 30
 39) Inj   1848 | FRcrit=0.910156 | maj=1@0.66 Δmax=0.516 KL=1.427 | inception4b.branch4.1.conv [40, 289, 0, 0] bit 30
 40) Inj   6485 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [34, 186, 0, 0] bit 30
 41) Inj   7888 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [12, 480, 0, 0] bit 30
 42) Inj   8118 | FRcrit=0.910156 | maj=5@0.95 Δmax=0.859 KL=2.214 | inception4b.branch4.1.conv [22, 418, 0, 0] bit 30
 43) Inj  16583 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [25, 295, 0, 0] bit 30
 44) Inj  11754 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [59, 508, 0, 0] bit 30
 45) Inj  16306 | FRcrit=0.910156 | maj=5@0.93 Δmax=0.848 KL=2.148 | inception4b.branch4.1.conv [14, 212, 0, 0] bit 30
