[PROP/wald] K=1  FRcrit_avg=0.02317820  conf=0.99  steps=1  n=1868
half_norm=0.00896819  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2621440
EP_control=wald  E_wald_final=0.00896819
Wald_CI(99%):   [0.01421001, 0.03214639]   half=0.00896819   se=0.00348144   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11822858 (n=1868)
injections_used=1868  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06832173447537473, 0.15108279242505354, 0.08995876271413276, 0.10730268000535331, 0.07987946667558886, 0.08708344486081371, 0.12702631490899358, 0.09261032855995717, 0.08486265390792291, 0.11187182146680942] Δmax = 0.007 KL = 0.000 TV = 0.013 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0232 per_class = [0.01873661670235546, 0.00930320041669078, 0.02038916302020296, 0.015266872868585931, 0.01873661670235546, 0.015962624099669066, 0.018201284796573874, 0.05169164882226981, 0.018201284796573874, 0.04568165596002855] agree = 0.977 flip_asym = 0.792

[E_seq] n, E_wald
664,0.01677112
1868,0.00896819

[E_final] E_wald=0.00896819

Top-100 worst injections (proposed iter EP)
 34) Inj    876 | FRcrit=0.851562 | maj=1@0.98 Δmax=0.840 KL=1.853 | inception4b.branch1.conv [19, 291, 0, 0] bit 30
 35) Inj    238 | FRcrit=0.843750 | maj=1@0.53 Δmax=0.383 KL=1.467 | inception4b.branch1.conv [102, 501, 0, 0] bit 30
 36) Inj    182 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [43, 190, 0, 0] bit 26
 37) Inj    207 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [20, 124, 0, 0] bit 11
 38) Inj    293 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [88, 432, 0, 0] bit 29
 39) Inj    218 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [91, 489, 0, 0] bit 7
 40) Inj    237 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [8, 38, 0, 0] bit 23
 41) Inj    320 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [38, 338, 0, 0] bit 29
 42) Inj    298 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [10, 424, 0, 0] bit 1
 43) Inj    329 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [10, 280, 0, 0] bit 17
 44) Inj    345 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [45, 498, 0, 0] bit 25
 45) Inj    392 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [56, 181, 0, 0] bit 29
 46) Inj    398 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [91, 399, 0, 0] bit 31
 47) Inj    464 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [38, 50, 0, 0] bit 2
 48) Inj   1168 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [86, 132, 0, 0] bit 29
 49) Inj    489 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [0, 31, 0, 0] bit 17
 50) Inj    516 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [20, 458, 0, 0] bit 1
 51) Inj    331 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch1.conv [41, 485, 0, 0] bit 16
