[PROP/wald] K=1  FRcrit_avg=0.01878065  conf=0.99  steps=2  n=1249
half_norm=0.00989471  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=14745600
EP_control=wald  E_wald_final=0.00989471
Wald_CI(99%):   [0.00888594, 0.02867536]   half=0.00989471   se=0.00384111   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10169170 (n=1249)
injections_used=1249  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06875500400320256, 0.1442654123298639, 0.08987815252201761, 0.10518101981585268, 0.0803236339071257, 0.08605947257806244, 0.1271673588871097, 0.09306507706164932, 0.09123861589271418, 0.11406625300240192] Δmax = 0.005 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0184 per_class = [0.01290444120001884, 0.011317161837578171, 0.015838757962892053, 0.012810248198558846, 0.013610888710968775, 0.01200960768614892, 0.013489579542421816, 0.04701361088871097, 0.006441516849843511, 0.03869762476647985] agree = 0.981 flip_asym = 0.791

[E_seq] n, E_wald
664,0.01347771
1207,0.01016938
1249,0.00989471

[E_final] E_wald=0.00989471

Top-100 worst injections (proposed iter EP)
 33) Inj    131 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [47, 66, 0, 1] bit 3
 34) Inj    370 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [169, 158, 1, 0] bit 31
 35) Inj    135 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [306, 116, 2, 1] bit 25
 36) Inj     54 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [293, 16, 0, 2] bit 13
 37) Inj    237 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [26, 32, 1, 2] bit 28
 38) Inj    535 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [293, 79, 2, 1] bit 8
 39) Inj    566 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [60, 104, 0, 0] bit 15
 40) Inj    618 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [231, 35, 0, 1] bit 27
 41) Inj    293 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [251, 83, 1, 0] bit 2
 42) Inj    389 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [1, 37, 1, 2] bit 25
 43) Inj    382 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [264, 26, 1, 2] bit 14
 44) Inj    512 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [175, 30, 0, 2] bit 27
 45) Inj    784 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [178, 46, 2, 0] bit 13
 46) Inj    755 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [214, 71, 2, 1] bit 26
 47) Inj    811 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [308, 88, 0, 1] bit 20
 48) Inj    971 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [108, 72, 2, 0] bit 25
 49) Inj    872 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [92, 151, 2, 2] bit 19
 50) Inj    464 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [136, 119, 0, 0] bit 16
