[PROP/wald] K=1  FRcrit_avg=0.02091107  conf=0.99  steps=1  n=1407
half_norm=0.00982648  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=175253504
EP_control=wald  E_wald_final=0.00982648
Wald_CI(99%):   [0.01108459, 0.03073755]   half=0.00982648   se=0.00381463   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11120640 (n=1407)
injections_used=1407  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07018201403695806, 0.14398987206823027, 0.09281994047619048, 0.10561034115138593, 0.08153151652452026, 0.08601523631840796, 0.12760139036958068, 0.09286436122956646, 0.08585976368159204, 0.11352556414356788] Δmax = 0.005 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0205 per_class = [0.014047410008779631, 0.013868879540521331, 0.014678161985105529, 0.014214641080312722, 0.014250177683013504, 0.014214641080312722, 0.014925373134328358, 0.04906894100923952, 0.014376171092589003, 0.04155413409144752] agree = 0.979 flip_asym = 0.582

[E_seq] n, E_wald
664,0.01455273
1407,0.00982648

[E_final] E_wald=0.00982648

Top-100 worst injections (proposed iter EP)
 33) Inj    135 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch3.0.conv [0, 159, 0, 0] bit 31
 34) Inj    131 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.1.conv [157, 61, 2, 0] bit 13
 35) Inj    207 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch4.1.conv [100, 512, 0, 0] bit 20
 36) Inj    331 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch2.1.conv [67, 96, 2, 0] bit 26
 37) Inj    566 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [117, 331, 0, 0] bit 18
 38) Inj    389 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch2.1.conv [77, 117, 0, 2] bit 13
 39) Inj    370 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.0.conv [145, 281, 0, 0] bit 0
 40) Inj    398 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch1.conv [99, 644, 0, 0] bit 6
 41) Inj    392 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch2.1.conv [106, 7, 0, 1] bit 22
 42) Inj    459 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.0.conv [12, 385, 0, 0] bit 25
 43) Inj    293 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch1.conv [10, 153, 0, 0] bit 15
 44) Inj    237 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch2.1.conv [223, 130, 2, 0] bit 24
 45) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch1.conv [84, 817, 0, 0] bit 20
 46) Inj    147 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch2.1.conv [280, 149, 0, 2] bit 8
 47) Inj    329 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch4.1.conv [88, 426, 0, 0] bit 27
 48) Inj    320 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch4.1.conv [0, 288, 0, 0] bit 6
 49) Inj    525 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch1.conv [88, 296, 0, 0] bit 10
 50) Inj   1005 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [83, 24, 2, 0] bit 10
 51) Inj    535 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [26, 636, 0, 0] bit 5
 52) Inj    713 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch4.1.conv [33, 563, 0, 0] bit 21
 53) Inj    618 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [59, 250, 0, 0] bit 31
 54) Inj    419 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.0.conv [39, 377, 0, 0] bit 30
 55) Inj    864 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [61, 16, 1, 2] bit 20
 56) Inj    756 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch1.conv [188, 313, 0, 0] bit 14
 57) Inj    512 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [74, 2, 1, 0] bit 3
