[PROP/wald] K=1  FRcrit_avg=0.02234084  conf=0.99  steps=1  n=1610
half_norm=0.00948804  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=589824
EP_control=wald  E_wald_final=0.00948804
Wald_CI(99%):   [0.01285280, 0.03182888]   half=0.00948804   se=0.00368324   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11433991 (n=1610)
injections_used=1610  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06899505046583851, 0.156834724378882, 0.08914984472049689, 0.1038868400621118, 0.08060219332298137, 0.08438955745341616, 0.1265843361801242, 0.09325504658385093, 0.08438955745341616, 0.11191284937888199] Δmax = 0.012 KL = 0.001 TV = 0.017 H_baseline = 2.277 H_global = 2.274 ΔH = 0.003 BER = 0.0226 per_class = [0.017391304347826087, 0.003105590062111801, 0.02030785849311369, 0.018012422360248446, 0.017391304347826087, 0.018012422360248446, 0.018012422360248446, 0.05080745341614907, 0.018012422360248446, 0.0450103519668737] agree = 0.978 flip_asym = 0.921

[E_seq] n, E_wald
664,0.01556703
1610,0.00948804

[E_final] E_wald=0.00948804

Top-100 worst injections (proposed iter EP)
  1) Inj   1474 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [57, 0, 1, 1] bit 30
  2) Inj   1441 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4d.branch3.1.conv [30, 15, 1, 2] bit 30
  3) Inj    668 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch3.1.conv [13, 13, 0, 2] bit 30
  4) Inj   1212 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch3.1.conv [13, 13, 2, 1] bit 30
  5) Inj    662 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4d.branch3.1.conv [56, 19, 2, 2] bit 30
  6) Inj    250 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch3.1.conv [45, 4, 0, 2] bit 30
  7) Inj     28 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch3.1.conv [49, 12, 2, 0] bit 30
  8) Inj    328 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch3.1.conv [38, 3, 2, 2] bit 30
  9) Inj    520 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch3.1.conv [48, 0, 1, 2] bit 30
 10) Inj   1317 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch3.1.conv [63, 9, 0, 1] bit 30
 11) Inj    151 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch3.1.conv [53, 4, 2, 0] bit 30
