[PROP/wald] K=1  FRcrit_avg=0.02057621  conf=0.99  n=16590
half_norm=0.00283917  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=11943936
EP_control=wald  E_wald_final=0.00283917
Wald_CI(99%):   [0.01773705, 0.02341538]   half=0.00283917   se=0.00110216   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10887516 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06912555568113321, 0.14851496571729958, 0.09000409697106691, 0.10502279234478601, 0.08049865317962628, 0.08614446767631104, 0.12742239300783603, 0.09332405628390597, 0.0850580639692586, 0.11488495516877636] Δmax = 0.004 KL = 0.000 TV = 0.009 H_baseline = 2.277 H_global = 2.277 ΔH = -0.001 BER = 0.0205 per_class = [0.015062227422614616, 0.009514034830490526, 0.017760830253950782, 0.014810349831446877, 0.015265220012055455, 0.014058304564633679, 0.015091237876048002, 0.04839300783604581, 0.015195353170036714, 0.039811131203536264] agree = 0.979 flip_asym = 0.640

[E_seq] n, E_wald
16590,0.00283917

[E_final] E_wald=0.00283917

Top-100 worst injections
 33) Inj  11455 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [59, 128, 1, 0] bit 30
 34) Inj   5095 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [25, 52, 1, 0] bit 30
 35) Inj   6747 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [58, 87, 2, 1] bit 30
 36) Inj  15926 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [8, 61, 0, 2] bit 30
 37) Inj  11059 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [110, 80, 1, 2] bit 30
 38) Inj   6512 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [263, 105, 1, 0] bit 30
 39) Inj   2856 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [110, 36, 2, 0] bit 30
 40) Inj  11277 | FRcrit=0.914062 | maj=5@0.91 Δmax=0.820 KL=2.139 | inception4d.branch2.1.conv [27, 53, 0, 1] bit 30
 41) Inj  12156 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [27, 63, 0, 2] bit 30
 42) Inj  14370 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [11, 43, 2, 1] bit 30
 43) Inj  11913 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [27, 7, 1, 2] bit 30
 44) Inj   6710 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [78, 31, 0, 1] bit 30
 45) Inj    990 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [199, 2, 1, 2] bit 30
 46) Inj   3972 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [27, 62, 1, 0] bit 30
 47) Inj  14383 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [103, 130, 0, 0] bit 30
 48) Inj   6923 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [5, 18, 2, 2] bit 30
 49) Inj   9005 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [11, 79, 2, 0] bit 30
 50) Inj  15640 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [170, 48, 0, 0] bit 30
 51) Inj   6218 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [244, 119, 2, 0] bit 30
 52) Inj   7839 | FRcrit=0.914062 | maj=2@0.95 Δmax=0.863 KL=2.217 | inception4d.branch2.1.conv [85, 50, 1, 2] bit 30
 53) Inj  10951 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [260, 15, 0, 0] bit 30
 54) Inj  10917 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [59, 135, 0, 0] bit 30
 55) Inj   2804 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [261, 133, 2, 0] bit 30
 56) Inj   2708 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [204, 73, 0, 1] bit 30
 57) Inj   1980 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [261, 127, 0, 1] bit 30
 58) Inj  15082 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [104, 26, 0, 1] bit 30
 59) Inj   4076 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [269, 98, 2, 0] bit 30
 60) Inj   6271 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [154, 70, 0, 0] bit 30
 61) Inj   5114 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [159, 49, 2, 2] bit 30
 62) Inj   6629 | FRcrit=0.910156 | maj=5@0.92 Δmax=0.832 KL=2.128 | inception4d.branch2.1.conv [54, 88, 0, 1] bit 30
 63) Inj   7616 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [158, 44, 0, 0] bit 30
 64) Inj  15586 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [85, 14, 0, 2] bit 30
 65) Inj   1580 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [158, 121, 1, 0] bit 30
 66) Inj   1989 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [278, 78, 1, 1] bit 30
 67) Inj  15016 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [127, 122, 2, 0] bit 30
 68) Inj    543 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [154, 90, 1, 2] bit 30
 69) Inj   8514 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [98, 67, 2, 2] bit 30
