[PROP/wald] K=1  FRcrit_avg=0.02053508  conf=0.99  steps=2  n=119682
half_norm=0.00099393  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=1048576
EP_control=wald  E_wald_final=0.00099393
Wald_CI(99%):   [0.01954115, 0.02152902]   half=0.00099393   se=0.00038584   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.10668121 (n=119682)
injections_used=119682  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.0685339261020872, 0.15071887115439248, 0.08888695015750071, 0.10514406145034341, 0.08088749639670126, 0.08562008985269297, 0.1277949065022309, 0.09339753602254307, 0.0852577363868418, 0.1137584259746662] Δmax = 0.006 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0206 per_class = [0.015893588598020047, 0.006995791098663711, 0.018860124256816796, 0.015043878624032699, 0.01494585651977741, 0.014873505699193773, 0.014831981518701326, 0.048470112464698116, 0.014957440246957467, 0.04105239997103435] agree = 0.979 flip_asym = 0.686

[E_seq] n, E_wald
664,0.01610240
75657,0.00128719
119682,0.00099393

[E_final] E_wald=0.00099393

Top-100 worst injections (proposed iter EP)
 32) Inj 102001 | FRcrit=0.925781 | maj=4@0.91 Δmax=0.836 KL=2.213 | inception4c.branch4.1.conv [53, 505, 0, 0] bit 30
 33) Inj  55368 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.918 KL=2.521 | inception4c.branch4.1.conv [28, 180, 0, 0] bit 30
 34) Inj  29216 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4c.branch4.1.conv [52, 281, 0, 0] bit 30
 35) Inj  50330 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4c.branch4.1.conv [51, 165, 0, 0] bit 30
 36) Inj  16957 | FRcrit=0.921875 | maj=4@0.74 Δmax=0.660 KL=1.814 | inception4c.branch4.1.conv [28, 264, 0, 0] bit 30
 37) Inj  31191 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4c.branch4.1.conv [28, 381, 0, 0] bit 30
 38) Inj  52257 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4c.branch4.1.conv [31, 281, 0, 0] bit 30
 39) Inj  20659 | FRcrit=0.921875 | maj=4@0.98 Δmax=0.906 KL=2.453 | inception4c.branch4.1.conv [51, 483, 0, 0] bit 30
 40) Inj  11398 | FRcrit=0.921875 | maj=4@0.97 Δmax=0.895 KL=2.407 | inception4c.branch4.1.conv [52, 300, 0, 0] bit 30
 41) Inj  78114 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.918 KL=2.521 | inception4c.branch4.1.conv [51, 374, 0, 0] bit 30
 42) Inj 105004 | FRcrit=0.921875 | maj=5@0.99 Δmax=0.902 KL=2.388 | inception4c.branch4.1.conv [0, 249, 0, 0] bit 30
 43) Inj  11850 | FRcrit=0.921875 | maj=2@0.91 Δmax=0.816 KL=2.054 | inception4c.branch4.1.conv [56, 464, 0, 0] bit 30
