[PROP/wald] K=1  FRcrit_avg=0.01979402  conf=0.99  n=16590
half_norm=0.00278579  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00278579
Wald_CI(99%):   [0.01700823, 0.02257981]   half=0.00278579   se=0.00108144   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10556618 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06856916817359855, 0.14979468053044, 0.0911326476793249, 0.10428910488245931, 0.08021068791440628, 0.0879127580620856, 0.12776992917420132, 0.09299206035262206, 0.08466178797468354, 0.11266717525617842] Δmax = 0.005 KL = 0.000 TV = 0.013 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0197 per_class = [0.014888487040385775, 0.0072951794470781815, 0.015837198941216553, 0.014857232156810216, 0.014804098854731766, 0.011655433174420516, 0.014081136865946992, 0.04781675708257987, 0.014850128774179407, 0.04131806309021499] agree = 0.980 flip_asym = 0.806

[E_seq] n, E_wald
16590,0.00278579

[E_final] E_wald=0.00278579

Top-100 worst injections
 34) Inj  15039 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [45, 143, 0, 0] bit 30
 35) Inj   4941 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [87, 189, 0, 0] bit 30
 36) Inj  11684 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [35, 62, 0, 0] bit 30
 37) Inj  14110 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [45, 98, 0, 0] bit 30
 38) Inj   5467 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [59, 51, 0, 0] bit 30
 39) Inj  15198 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [106, 244, 0, 0] bit 30
 40) Inj  13952 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [59, 1, 0, 0] bit 30
 41) Inj  10663 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [87, 168, 0, 0] bit 30
 42) Inj   4356 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [90, 179, 0, 0] bit 30
 43) Inj  14411 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [12, 32, 0, 0] bit 30
 44) Inj  13100 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [88, 24, 0, 0] bit 30
 45) Inj  11819 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [73, 75, 0, 0] bit 30
 46) Inj  13204 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [58, 183, 0, 0] bit 30
 47) Inj   2831 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [95, 43, 0, 0] bit 30
 48) Inj   3014 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [87, 7, 0, 0] bit 30
 49) Inj   8372 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [27, 141, 0, 0] bit 30
 50) Inj  15129 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [24, 212, 0, 0] bit 30
 51) Inj   1377 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [73, 188, 0, 0] bit 30
 52) Inj  11730 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [87, 47, 0, 0] bit 30
 53) Inj  11443 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [35, 33, 0, 0] bit 30
 54) Inj   5609 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [60, 239, 0, 0] bit 30
 55) Inj   9532 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [0, 222, 0, 0] bit 30
 56) Inj   3635 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [85, 177, 0, 0] bit 30
