[PROP/wald] K=1  FRcrit_avg=0.02024798  conf=0.99  n=16590
half_norm=0.00281690  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=393216
EP_control=wald  E_wald_final=0.00281690
Wald_CI(99%):   [0.01743108, 0.02306489]   half=0.00281690   se=0.00109352   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10816306 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06855080244122966, 0.14575892857142858, 0.09840218128390597, 0.10426249811633514, 0.08021233612115733, 0.08559726303496082, 0.12696631065400843, 0.09295697709463532, 0.08463941945449066, 0.1126532832278481] Δmax = 0.009 KL = 0.001 TV = 0.014 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0200 per_class = [0.015143779030599581, 0.011498297574246941, 0.00858033912519328, 0.01508717880025897, 0.014996986136226643, 0.014241876267192723, 0.015080278371417613, 0.048161543098251956, 0.015115896761466381, 0.04161342174000402] agree = 0.980 flip_asym = 0.895

[E_seq] n, E_wald
16590,0.00281690

[E_final] E_wald=0.00281690

Top-100 worst injections
 34) Inj   6679 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [37, 44, 0, 0] bit 30
 35) Inj   4335 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [55, 65, 0, 0] bit 30
 36) Inj   3219 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [0, 112, 0, 0] bit 30
 37) Inj   4368 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception3a.branch1.conv [34, 99, 0, 0] bit 30
 38) Inj   4555 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [30, 84, 0, 0] bit 30
 39) Inj   5157 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.384 | inception3a.branch1.conv [39, 130, 0, 0] bit 30
 40) Inj   5114 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [17, 0, 0, 0] bit 30
 41) Inj   8325 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [30, 191, 0, 0] bit 30
 42) Inj   2991 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [17, 153, 0, 0] bit 30
 43) Inj   2527 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [17, 176, 0, 0] bit 30
 44) Inj   3597 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [2, 183, 0, 0] bit 30
 45) Inj   6552 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [15, 9, 0, 0] bit 30
 46) Inj  10129 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [30, 40, 0, 0] bit 30
 47) Inj   3885 | FRcrit=0.910156 | maj=2@0.77 Δmax=0.680 KL=1.880 | inception3a.branch1.conv [44, 151, 0, 0] bit 30
 48) Inj   6738 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [17, 78, 0, 0] bit 30
 49) Inj   7461 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [57, 99, 0, 0] bit 30
 50) Inj   8076 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [37, 179, 0, 0] bit 30
 51) Inj   4980 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [34, 98, 0, 0] bit 30
 52) Inj   8382 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [44, 174, 0, 0] bit 30
 53) Inj   5399 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [46, 34, 0, 0] bit 30
 54) Inj   5667 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [17, 25, 0, 0] bit 30
 55) Inj   5176 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [62, 121, 0, 0] bit 30
