[PROP/wald] K=1  FRcrit_avg=0.02593598  conf=0.99  steps=1  n=1848
half_norm=0.00952445  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1179648
EP_control=wald  E_wald_final=0.00952445
Wald_CI(99%):   [0.01641153, 0.03546043]   half=0.00952445   se=0.00369738   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.12986036 (n=1848)
injections_used=1848  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.0703230688582251, 0.14148107751623376, 0.08814216382575757, 0.10359172077922078, 0.07970821496212122, 0.08845288825757576, 0.12780920251623376, 0.09290449134199134, 0.0944031554383117, 0.11318401650432901] Δmax = 0.008 KL = 0.001 TV = 0.016 H_baseline = 2.277 H_global = 2.282 ΔH = -0.005 BER = 0.0254 per_class = [0.01893939393939394, 0.021103896103896104, 0.024421230942970072, 0.021103896103896104, 0.021103896103896104, 0.016774891774891776, 0.01948051948051948, 0.053658008658008655, 0.010822510822510822, 0.046392496392496395] agree = 0.974 flip_asym = 0.816

[E_seq] n, E_wald
664,0.01668003
1848,0.00952445

[E_final] E_wald=0.00952445

Top-100 worst injections (proposed iter EP)
  1) Inj    279 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch3.1.conv [85, 14, 2, 1] bit 30
  2) Inj    744 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch3.1.conv [89, 18, 0, 0] bit 30
  3) Inj   1039 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch3.1.conv [81, 23, 1, 1] bit 30
  4) Inj   1018 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch3.1.conv [42, 16, 0, 2] bit 30
  5) Inj     90 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch3.1.conv [62, 23, 0, 0] bit 30
  6) Inj   1398 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch3.1.conv [10, 16, 1, 1] bit 30
  7) Inj   1795 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch3.1.conv [48, 25, 0, 1] bit 30
  8) Inj   1227 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch3.1.conv [28, 6, 0, 1] bit 30
  9) Inj    216 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch3.1.conv [101, 18, 0, 2] bit 30
 10) Inj    599 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch3.1.conv [16, 21, 0, 0] bit 30
 11) Inj    292 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch3.1.conv [61, 11, 0, 2] bit 30
 12) Inj    660 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch3.1.conv [107, 8, 2, 1] bit 30
