[PROP/wald] K=1  FRcrit_avg=0.01903326  conf=0.99  n=16590
half_norm=0.00273279  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2097152
EP_control=wald  E_wald_final=0.00273279
Wald_CI(99%):   [0.01630047, 0.02176605]   half=0.00273279   se=0.00106087   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10236532 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06862473628691983, 0.14978290762507535, 0.08937518836648584, 0.10450549088306209, 0.0803519627787824, 0.08868694431886678, 0.1283738792194093, 0.09307517706449668, 0.08475856125678119, 0.11246515220012056] Δmax = 0.005 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0190 per_class = [0.014009147962982662, 0.006619096492514214, 0.016877637130801686, 0.013895028241019802, 0.013899939722724533, 0.01001150747986191, 0.012778782399035564, 0.04699457504520796, 0.013981588032220944, 0.04078963230861965] agree = 0.981 flip_asym = 0.838

[E_seq] n, E_wald
16590,0.00273279

[E_final] E_wald=0.00273279

Top-100 worst injections
 33) Inj   4950 | FRcrit=0.914062 | maj=5@0.79 Δmax=0.703 KL=1.875 | inception4c.branch2.0.conv [23, 478, 0, 0] bit 30
 34) Inj   6903 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.895 KL=2.330 | inception4c.branch2.0.conv [53, 317, 0, 0] bit 30
 35) Inj   3195 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [49, 312, 0, 0] bit 30
 36) Inj   1585 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [111, 290, 0, 0] bit 30
 37) Inj  10227 | FRcrit=0.914062 | maj=2@0.52 Δmax=0.430 KL=1.376 | inception4c.branch2.0.conv [87, 246, 0, 0] bit 30
 38) Inj  13255 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [37, 106, 0, 0] bit 30
 39) Inj   8673 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [111, 495, 0, 0] bit 30
 40) Inj   8804 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [117, 332, 0, 0] bit 30
 41) Inj   7011 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.910 KL=2.427 | inception4c.branch2.0.conv [111, 48, 0, 0] bit 30
 42) Inj  12711 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [99, 200, 0, 0] bit 30
 43) Inj  10293 | FRcrit=0.914062 | maj=2@0.96 Δmax=0.875 KL=2.224 | inception4c.branch2.0.conv [53, 230, 0, 0] bit 30
 44) Inj  13870 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [47, 298, 0, 0] bit 30
 45) Inj  14569 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [10, 345, 0, 0] bit 30
 46) Inj   8988 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [50, 226, 0, 0] bit 30
 47) Inj  11170 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [76, 306, 0, 0] bit 30
 48) Inj  10243 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [101, 191, 0, 0] bit 30
 49) Inj   9061 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [78, 181, 0, 0] bit 30
 50) Inj  12914 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [38, 179, 0, 0] bit 30
 51) Inj  12980 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [79, 434, 0, 0] bit 30
 52) Inj  12780 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [29, 290, 0, 0] bit 30
 53) Inj  13111 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [16, 376, 0, 0] bit 30
 54) Inj  13787 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [89, 389, 0, 0] bit 30
 55) Inj  11848 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [23, 92, 0, 0] bit 30
 56) Inj  11698 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [111, 327, 0, 0] bit 30
 57) Inj  12784 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [99, 357, 0, 0] bit 30
 58) Inj   7265 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [16, 101, 0, 0] bit 30
 59) Inj  10620 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [98, 270, 0, 0] bit 30
 60) Inj  16547 | FRcrit=0.914062 | maj=5@0.78 Δmax=0.691 KL=1.748 | inception4c.branch2.0.conv [18, 457, 0, 0] bit 30
 61) Inj   8461 | FRcrit=0.914062 | maj=5@0.99 Δmax=0.906 KL=2.404 | inception4c.branch2.0.conv [65, 194, 0, 0] bit 30
 62) Inj   5378 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4c.branch2.0.conv [70, 65, 0, 0] bit 30
 63) Inj   3995 | FRcrit=0.910156 | maj=5@0.96 Δmax=0.879 KL=2.284 | inception4c.branch2.0.conv [65, 207, 0, 0] bit 30
