[PROP/wald] K=1  FRcrit_avg=0.02098144  conf=0.99  n=16590
half_norm=0.00286639  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2162688
EP_control=wald  E_wald_final=0.00286639
Wald_CI(99%):   [0.01811504, 0.02384783]   half=0.00286639   se=0.00111273   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11111252 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06880650994575045, 0.1429256611663653, 0.09258071503918022, 0.10640728601567209, 0.08134041591320072, 0.08568862078059072, 0.1279458163803496, 0.09516321955997589, 0.08537687424653406, 0.11376488095238095] Δmax = 0.003 KL = 0.000 TV = 0.009 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0206 per_class = [0.015459348296280538, 0.01506117328902139, 0.01542574101737558, 0.013631594222311522, 0.01461121157323689, 0.014674776700093156, 0.014806290755657845, 0.04668836648583484, 0.014866568031124993, 0.0410126582278481] agree = 0.979 flip_asym = 0.572

[E_seq] n, E_wald
16590,0.00286639

[E_final] E_wald=0.00286639

Top-100 worst injections
 33) Inj   2200 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [18, 198, 0, 0] bit 30
 34) Inj   4840 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [50, 48, 0, 0] bit 30
 35) Inj  16146 | FRcrit=0.914062 | maj=4@0.99 Δmax=0.914 KL=2.496 | inception4e.branch4.1.conv [118, 504, 0, 0] bit 30
 36) Inj   9213 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [18, 279, 0, 0] bit 30
 37) Inj   3559 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [97, 492, 0, 0] bit 30
 38) Inj  14568 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [22, 60, 0, 0] bit 30
 39) Inj   6832 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [82, 231, 0, 0] bit 30
 40) Inj  14476 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [30, 42, 0, 0] bit 30
 41) Inj    654 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [30, 320, 0, 0] bit 30
 42) Inj  14742 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [69, 217, 0, 0] bit 30
 43) Inj   7533 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [11, 345, 0, 0] bit 30
 44) Inj  16305 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [117, 76, 0, 0] bit 30
 45) Inj   4180 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [69, 140, 0, 0] bit 30
 46) Inj   1447 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [91, 329, 0, 0] bit 30
 47) Inj    780 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [50, 26, 0, 0] bit 30
 48) Inj   5620 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [127, 315, 0, 0] bit 30
 49) Inj    320 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch4.1.conv [91, 229, 0, 0] bit 30
