[PROP/wald] K=1  FRcrit_avg=0.02155950  conf=0.99  steps=1  n=1404
half_norm=0.00998502  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00998502
Wald_CI(99%):   [0.01157448, 0.03154451]   half=0.00998502   se=0.00387617   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11166756 (n=1404)
injections_used=1404  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06909666577635327, 0.14876580306267806, 0.09021656873219373, 0.10613926727207977, 0.0815749643874644, 0.08589298433048433, 0.12679732015669515, 0.09280960648148148, 0.08452969195156695, 0.11417712784900284] Δmax = 0.005 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0215 per_class = [0.01608848667672197, 0.009875259875259876, 0.018146909451257277, 0.014930885301255671, 0.015242165242165243, 0.015572390572390573, 0.016468099801433135, 0.05, 0.01638176638176638, 0.04195156695156695] agree = 0.978 flip_asym = 0.673

[E_seq] n, E_wald
664,0.01453919
1404,0.00998502

[E_final] E_wald=0.00998502

Top-100 worst injections (proposed iter EP)
 33) Inj     75 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.008 KL=0.001 | inception4d.branch4.1.conv [35, 143, 0, 0] bit 30
 34) Inj     92 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [14, 508, 0, 0] bit 16
 35) Inj    135 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [50, 42, 0, 0] bit 21
 36) Inj    207 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [51, 221, 0, 0] bit 14
 37) Inj    147 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [15, 1, 0, 0] bit 21
 38) Inj    237 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [5, 104, 0, 0] bit 29
 39) Inj    182 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [48, 239, 0, 0] bit 2
 40) Inj    293 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [4, 430, 0, 0] bit 27
 41) Inj    166 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [61, 345, 0, 0] bit 0
 42) Inj    489 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [44, 111, 0, 0] bit 2
 43) Inj    218 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [38, 363, 0, 0] bit 4
 44) Inj    529 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [16, 15, 0, 0] bit 14
 45) Inj    370 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [38, 234, 0, 0] bit 5
 46) Inj    345 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [54, 89, 0, 0] bit 12
 47) Inj    382 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [54, 294, 0, 0] bit 11
 48) Inj    751 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [7, 94, 0, 0] bit 3
 49) Inj    398 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [38, 388, 0, 0] bit 19
 50) Inj    298 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [48, 37, 0, 0] bit 14
 51) Inj    459 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [27, 330, 0, 0] bit 13
 52) Inj    419 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [59, 350, 0, 0] bit 1
 53) Inj    477 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [55, 91, 0, 0] bit 21
 54) Inj    320 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [24, 291, 0, 0] bit 9
 55) Inj    872 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [5, 87, 0, 0] bit 21
 56) Inj   1221 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [8, 396, 0, 0] bit 24
 57) Inj    329 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [50, 480, 0, 0] bit 9
 58) Inj    512 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [33, 26, 0, 0] bit 20
 59) Inj    566 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [60, 140, 0, 0] bit 2
 60) Inj    535 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [37, 130, 0, 0] bit 28
 61) Inj    620 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [4, 275, 0, 0] bit 10
 62) Inj    389 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [2, 318, 0, 0] bit 9
 63) Inj    618 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [25, 47, 0, 0] bit 2
 64) Inj    713 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [63, 470, 0, 0] bit 6
 65) Inj    692 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [3, 367, 0, 0] bit 6
 66) Inj    755 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [52, 468, 0, 0] bit 18
 67) Inj    811 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [20, 260, 0, 0] bit 21
 68) Inj    464 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [14, 266, 0, 0] bit 23
 69) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [30, 344, 0, 0] bit 19
 70) Inj    784 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [20, 221, 0, 0] bit 6
 71) Inj    862 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [43, 206, 0, 0] bit 31
 72) Inj   1141 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [15, 57, 0, 0] bit 29
 73) Inj    819 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [41, 61, 0, 0] bit 5
 74) Inj   1012 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [26, 151, 0, 0] bit 10
 75) Inj    331 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [26, 269, 0, 0] bit 4
 76) Inj   1054 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [40, 31, 0, 0] bit 24
