[PROP/wald] K=1  FRcrit_avg=0.02183454  conf=0.99  steps=2  n=116152
half_norm=0.00098989  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=589824
EP_control=wald  E_wald_final=0.00098989
Wald_CI(99%):   [0.02084464, 0.02282443]   half=0.00098989   se=0.00038428   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.11425846 (n=116152)
injections_used=116152  pilot=663  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06845017735381224, 0.14613031308113505, 0.10037157668400028, 0.10406420573903162, 0.08007032272367243, 0.08481525016788347, 0.12675369612662718, 0.09277468182855224, 0.08449592855697706, 0.11207384773830842] Δmax = 0.011 KL = 0.001 TV = 0.016 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0215 per_class = [0.016824303245645666, 0.012680960456289336, 0.008378077302006067, 0.01684765556244308, 0.016721623390040637, 0.016569589065112172, 0.01678338937275503, 0.050002755010675665, 0.01681691388713222, 0.043799791078357096] agree = 0.978 flip_asym = 0.924

[E_seq] n, E_wald
663,0.01497579
70985,0.00133877
116152,0.00098989

[E_final] E_wald=0.00098989

Top-100 worst injections (proposed iter EP)
 32) Inj   8699 | FRcrit=0.921875 | maj=2@0.75 Δmax=0.656 KL=1.722 | inception3a.branch2.0.conv [49, 187, 0, 0] bit 30
 33) Inj 115201 | FRcrit=0.921875 | maj=2@0.88 Δmax=0.789 KL=2.046 | inception3a.branch2.0.conv [82, 134, 0, 0] bit 30
 34) Inj  49485 | FRcrit=0.921875 | maj=2@0.92 Δmax=0.828 KL=2.087 | inception3a.branch2.0.conv [59, 85, 0, 0] bit 30
 35) Inj  91671 | FRcrit=0.921875 | maj=2@0.75 Δmax=0.660 KL=1.739 | inception3a.branch2.0.conv [60, 72, 0, 0] bit 30
 36) Inj  52685 | FRcrit=0.921875 | maj=2@0.93 Δmax=0.836 KL=2.090 | inception3a.branch2.0.conv [87, 101, 0, 0] bit 30
 37) Inj  54117 | FRcrit=0.921875 | maj=2@0.84 Δmax=0.750 KL=1.852 | inception3a.branch2.0.conv [87, 61, 0, 0] bit 30
 38) Inj  15947 | FRcrit=0.921875 | maj=2@0.68 Δmax=0.590 KL=1.611 | inception3a.branch2.0.conv [45, 151, 0, 0] bit 30
 39) Inj   7199 | FRcrit=0.921875 | maj=2@0.91 Δmax=0.824 KL=2.021 | inception3a.branch2.0.conv [54, 124, 0, 0] bit 30
 40) Inj  25784 | FRcrit=0.921875 | maj=2@0.87 Δmax=0.781 KL=2.031 | inception3a.branch2.0.conv [80, 130, 0, 0] bit 30
 41) Inj  14897 | FRcrit=0.921875 | maj=2@0.81 Δmax=0.719 KL=1.795 | inception3a.branch2.0.conv [13, 118, 0, 0] bit 30
 42) Inj  37910 | FRcrit=0.921875 | maj=2@0.92 Δmax=0.832 KL=2.121 | inception3a.branch2.0.conv [80, 169, 0, 0] bit 30
 43) Inj  49463 | FRcrit=0.921875 | maj=2@0.82 Δmax=0.730 KL=1.825 | inception3a.branch2.0.conv [43, 125, 0, 0] bit 30
 44) Inj  60868 | FRcrit=0.921875 | maj=2@0.90 Δmax=0.809 KL=2.002 | inception3a.branch2.0.conv [39, 158, 0, 0] bit 30
 45) Inj  97180 | FRcrit=0.921875 | maj=2@0.89 Δmax=0.797 KL=2.061 | inception3a.branch2.0.conv [22, 28, 0, 0] bit 30
 46) Inj  61761 | FRcrit=0.921875 | maj=2@0.88 Δmax=0.785 KL=1.941 | inception3a.branch2.0.conv [64, 151, 0, 0] bit 30
 47) Inj  77989 | FRcrit=0.921875 | maj=2@0.95 Δmax=0.855 KL=2.172 | inception3a.branch2.0.conv [53, 164, 0, 0] bit 30
 48) Inj   3239 | FRcrit=0.917969 | maj=2@0.73 Δmax=0.637 KL=1.796 | inception3a.branch2.0.conv [62, 161, 0, 0] bit 30
 49) Inj   7246 | FRcrit=0.917969 | maj=2@0.82 Δmax=0.730 KL=1.808 | inception3a.branch2.0.conv [59, 60, 0, 0] bit 30
 50) Inj   7538 | FRcrit=0.917969 | maj=5@0.57 Δmax=0.484 KL=1.730 | inception3a.branch2.0.conv [69, 14, 0, 0] bit 30
 51) Inj  15131 | FRcrit=0.917969 | maj=2@0.89 Δmax=0.797 KL=1.956 | inception3a.branch2.0.conv [87, 123, 0, 0] bit 30
 52) Inj  13747 | FRcrit=0.917969 | maj=2@0.71 Δmax=0.621 KL=1.671 | inception3a.branch2.0.conv [78, 84, 0, 0] bit 30
 53) Inj  48279 | FRcrit=0.917969 | maj=2@0.87 Δmax=0.777 KL=1.918 | inception3a.branch2.0.conv [35, 119, 0, 0] bit 30
 54) Inj  35140 | FRcrit=0.917969 | maj=2@0.98 Δmax=0.891 KL=2.314 | inception3a.branch2.0.conv [94, 121, 0, 0] bit 30
 55) Inj  13048 | FRcrit=0.917969 | maj=2@0.55 Δmax=0.465 KL=1.368 | inception3a.branch2.0.conv [86, 7, 0, 0] bit 30
 56) Inj  10499 | FRcrit=0.917969 | maj=2@0.93 Δmax=0.844 KL=2.111 | inception3a.branch2.0.conv [65, 165, 0, 0] bit 30
 57) Inj     59 | FRcrit=0.917969 | maj=2@0.97 Δmax=0.879 KL=2.256 | inception3a.branch2.0.conv [64, 48, 0, 0] bit 30
 58) Inj  43504 | FRcrit=0.917969 | maj=2@0.96 Δmax=0.871 KL=2.208 | inception3a.branch2.0.conv [43, 41, 0, 0] bit 30
 59) Inj  15776 | FRcrit=0.917969 | maj=1@0.55 Δmax=0.402 KL=1.461 | inception3a.branch2.0.conv [13, 105, 0, 0] bit 30
 60) Inj  80849 | FRcrit=0.917969 | maj=2@0.76 Δmax=0.672 KL=1.793 | inception3a.branch2.0.conv [60, 73, 0, 0] bit 30
 61) Inj  19633 | FRcrit=0.917969 | maj=2@0.95 Δmax=0.863 KL=2.223 | inception3a.branch2.0.conv [57, 84, 0, 0] bit 30
 62) Inj  57347 | FRcrit=0.917969 | maj=2@0.97 Δmax=0.879 KL=2.256 | inception3a.branch2.0.conv [59, 142, 0, 0] bit 30
 63) Inj  59927 | FRcrit=0.917969 | maj=2@0.93 Δmax=0.844 KL=2.132 | inception3a.branch2.0.conv [54, 104, 0, 0] bit 30
 64) Inj  87345 | FRcrit=0.917969 | maj=2@0.98 Δmax=0.891 KL=2.314 | inception3a.branch2.0.conv [31, 145, 0, 0] bit 30
 65) Inj  60025 | FRcrit=0.917969 | maj=2@0.90 Δmax=0.809 KL=2.033 | inception3a.branch2.0.conv [43, 142, 0, 0] bit 30
 66) Inj  58073 | FRcrit=0.917969 | maj=2@0.93 Δmax=0.840 KL=2.099 | inception3a.branch2.0.conv [65, 124, 0, 0] bit 30
 67) Inj  18680 | FRcrit=0.917969 | maj=2@0.97 Δmax=0.883 KL=2.265 | inception3a.branch2.0.conv [17, 116, 0, 0] bit 30
 68) Inj  15874 | FRcrit=0.917969 | maj=2@0.93 Δmax=0.844 KL=2.122 | inception3a.branch2.0.conv [54, 83, 0, 0] bit 30
 69) Inj  95356 | FRcrit=0.917969 | maj=2@0.84 Δmax=0.746 KL=1.825 | inception3a.branch2.0.conv [35, 105, 0, 0] bit 30
 70) Inj  15141 | FRcrit=0.917969 | maj=2@0.98 Δmax=0.895 KL=2.315 | inception3a.branch2.0.conv [39, 139, 0, 0] bit 30
 71) Inj  71078 | FRcrit=0.917969 | maj=2@0.94 Δmax=0.848 KL=2.179 | inception3a.branch2.0.conv [94, 181, 0, 0] bit 30
 72) Inj  66283 | FRcrit=0.917969 | maj=5@0.53 Δmax=0.445 KL=1.718 | inception3a.branch2.0.conv [69, 190, 0, 0] bit 30
 73) Inj  65391 | FRcrit=0.917969 | maj=2@0.78 Δmax=0.688 KL=1.774 | inception3a.branch2.0.conv [49, 165, 0, 0] bit 30
 74) Inj  81671 | FRcrit=0.917969 | maj=2@0.96 Δmax=0.871 KL=2.226 | inception3a.branch2.0.conv [75, 120, 0, 0] bit 30
 75) Inj 114856 | FRcrit=0.917969 | maj=2@0.70 Δmax=0.613 KL=1.660 | inception3a.branch2.0.conv [64, 98, 0, 0] bit 30
